50,50,94,119,119,119,115,116,116,116,116,116,116,117,119,119
50,50,94,119,124,69,70,71,124,124,124,124,124,69,70,71
50,50,94,119,124,92,93,94,119,119,119,119,119,92,93,94
116,116,117,119,124,115,116,117,124,124,124,119,119,115,116,117
119,119,119,119,119,119,119,119,119,119,124,119,119,124,124,119
119,74,75,76,124,124,124,124,119,119,124,119,119,119,124,119
119,97,98,99,124,119,119,124,119,119,124,119,124,124,124,119
119,120,121,122,124,119,119,69,70,71,124,119,124,74,75,76
119,119,124,124,124,119,119,92,93,94,124,119,124,97,98,99
119,119,119,119,119,119,119,115,116,117,124,119,124,120,121,122
70,70,70,70,71,119,119,124,124,124,124,119,124,124,124,124
167,167,167,167,94,119,119,119,119,119,119,119,119,69,70,70
