130,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,131,131
130,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,130,-1,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,133,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,137,-1,-1,137,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,135,-1,-1,-1,-1
-1,-1,-1,-1,-1,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,133,-1,-1,-1,-1,-1,134,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,130,130,130,-1,-1,-1,-1,135,136,-1,-1,-1,-1,130,130
